"No.","Time","Source","Destination","Protocol","Length","Info"
"49","4.162428","127.0.0.1","127.0.0.1","TCP","68","57815  >  6379 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=3972431622 TSecr=0 SACK_PERM"
"50","4.162596","127.0.0.1","127.0.0.1","TCP","68","6379  >  57815 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=1413381509 TSecr=3972431622 SACK_PERM"
"51","4.162606","127.0.0.1","127.0.0.1","TCP","56","57815  >  6379 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=3972431622 TSecr=1413381509"
"52","4.162609","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] 6379  >  57815 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=1413381509 TSecr=3972431622"
"53","4.163034","127.0.0.1","127.0.0.1","RESP","92","Request: get key:__rand_int__"
"54","4.163053","127.0.0.1","127.0.0.1","TCP","56","6379  >  57815 [ACK] Seq=1 Ack=37 Win=408256 Len=0 TSval=1413381509 TSecr=3972431622"
"55","4.184655","127.0.0.1","127.0.0.1","TCP","16388","6379  >  57815 [ACK] Seq=1 Ack=37 Win=408256 Len=16332 TSval=1413381531 TSecr=3972431622 [TCP PDU reassembled in 56]"
"56","4.184656","127.0.0.1","127.0.0.1","RESP","3734","Response: BulkString(20000)"
"57","4.184691","127.0.0.1","127.0.0.1","TCP","56","57815  >  6379 [ACK] Seq=37 Ack=16333 Win=391936 Len=0 TSval=3972431644 TSecr=1413381531"
"58","4.184700","127.0.0.1","127.0.0.1","TCP","56","57815  >  6379 [ACK] Seq=37 Ack=20011 Win=388288 Len=0 TSval=3972431644 TSecr=1413381531"
"59","4.207709","127.0.0.1","127.0.0.1","TCP","56","57815  >  6379 [FIN, ACK] Seq=37 Ack=20011 Win=388288 Len=0 TSval=3972431667 TSecr=1413381531"
"60","4.207742","127.0.0.1","127.0.0.1","TCP","56","6379  >  57815 [ACK] Seq=20011 Ack=38 Win=408256 Len=0 TSval=1413381554 TSecr=3972431667"
"61","4.214394","127.0.0.1","127.0.0.1","TCP","56","6379  >  57815 [FIN, ACK] Seq=20011 Ack=38 Win=408256 Len=0 TSval=1413381561 TSecr=3972431667"
"62","4.214454","127.0.0.1","127.0.0.1","TCP","56","57815  >  6379 [ACK] Seq=38 Ack=20012 Win=388288 Len=0 TSval=3972431674 TSecr=1413381561"
