"No.","Time","Source","Destination","Protocol","Length","Info"
"35","0.938194","127.0.0.1","127.0.0.1","TCP","68","52599  >  6379 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=1220568355 TSecr=0 SACK_PERM"
"36","0.938272","127.0.0.1","127.0.0.1","TCP","68","6379  >  52599 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=2409930179 TSecr=1220568355 SACK_PERM"
"37","0.938281","127.0.0.1","127.0.0.1","TCP","56","52599  >  6379 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=1220568355 TSecr=2409930179"
"38","0.938287","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] 6379  >  52599 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=2409930179 TSecr=1220568355"
"39","0.939134","127.0.0.1","127.0.0.1","RESP","92","Request: get key:__rand_int__"
"40","0.939149","127.0.0.1","127.0.0.1","TCP","56","6379  >  52599 [ACK] Seq=1 Ack=37 Win=408256 Len=0 TSval=2409930180 TSecr=1220568356"
"41","0.943095","127.0.0.1","127.0.0.1","RESP","5065","Response: BulkString(5000)"
"42","0.943119","127.0.0.1","127.0.0.1","TCP","56","52599  >  6379 [ACK] Seq=37 Ack=5010 Win=403264 Len=0 TSval=1220568360 TSecr=2409930184"
"43","0.946205","127.0.0.1","127.0.0.1","TCP","56","52599  >  6379 [FIN, ACK] Seq=37 Ack=5010 Win=403264 Len=0 TSval=1220568363 TSecr=2409930184"
"44","0.946236","127.0.0.1","127.0.0.1","TCP","56","6379  >  52599 [ACK] Seq=5010 Ack=38 Win=408256 Len=0 TSval=2409930187 TSecr=1220568363"
"45","0.948140","127.0.0.1","127.0.0.1","TCP","56","6379  >  52599 [FIN, ACK] Seq=5010 Ack=38 Win=408256 Len=0 TSval=2409930189 TSecr=1220568363"
"46","0.948179","127.0.0.1","127.0.0.1","TCP","56","52599  >  6379 [ACK] Seq=38 Ack=5011 Win=403264 Len=0 TSval=1220568365 TSecr=2409930189"
